date,category,amount,notes,transaction_type,payment_mode,clean_notes
2023-04-25,entertainment,3888.0,Movie tickets,Expense,Card,movie tickets
31-12-23,food,13239.0,Books,Income,Cash,books
11/10/2023,health,59543.0,Gym membership,Income,UPI,gym membership
02/24/2022,utility,23760.0,Electricity bill,Expense,Card,electricity bill
08/28/2023,food,898.0,Restaurant dinner,Expense,UPI,restaurant dinner
17-07-24,food,9567.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
2024-04-20,health,7038.0,Gym membership,Expense,Card,gym membership
2024-12-16,food,8119.0,Books,Expense,Card,books
2022-10-10,food,19947.0,Coffee,Income,Bank Transfer,coffee
05-05-21,utility,2407.0,Internet bill,Expense,Card,internet bill
09/08/2024,utility,3085.0,Electricity bill,Expense,Card,electricity bill
2023-02-22,education,5252.0,Online course,Expense,unknown,online course
23-02-21,health,8497.0,Gym membership,Expense,unknown,gym membership
04/15/2021,entertainment,8241.0,Movie tickets,Expense,UPI,movie tickets
05/25/2022,food,235.0,ATM withdrawal,Expense,Card,atm withdrawal
2023-08-09,food,2134.0,Books,Expense,Bank Transfer,books
06/19/2021,entertainment,2228.0,Movie tickets,Expense,Cash,movie tickets
26-02-2022,travel,371.0,Uber ride,Expense,Cash,uber ride
04/15/2023,health,23776.0,Doctor consultation,Expense,UPI,doctor consultation
04/10/2021,health,601.0,Medicine,Expense,Bank Transfer,medicine
09/05/2024,utility,3219.0,Internet bill,Expense,Cash,internet bill
04/21/2024,food,8111.0,Grocery shopping,Expense,unknown,grocery shopping
12-01-2024,health,3110.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
25-07-24,travel,4277.0,Train ticket,Expense,Card,train ticket
17-01-24,food,3047.0,Grocery shopping,Expense,Card,grocery shopping
04/16/2022,food,9888.0,Shopping,Expense,Bank Transfer,shopping
07/03/2024,utility,7217.0,Internet bill,Expense,Cash,internet bill
2021-10-05,food,9725.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2023-10-22,travel,1643.0,Petrol,Expense,Card,petrol
2022-12-10,health,70075.0,Gym membership,Income,UPI,gym membership
04/10/2024,food,1206.0,Shopping,Expense,Cash,shopping
2021-11-05,travel,9771.0,Petrol,Expense,Bank Transfer,petrol
2022-01-25,travel,20509.0,Train ticket,Expense,Bank Transfer,train ticket
2024-09-13,utility,62193.0,Electricity bill,Income,UPI,electricity bill
2023-08-22,rent,3367.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
2024-05-13,food,2721.0,EMI payment,Expense,UPI,emi payment
02/13/2023,food,2962.0,Books,Expense,UPI,books
04/07/2024,food,5524.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
11/14/2024,utility,1800.0,Internet bill,Expense,Bank Transfer,internet bill
2021-07-11,food,2966.0,EMI payment,Expense,Cash,emi payment
2022-08-14,food,2637.0,Fixed deposit,Expense,Cash,fixed deposit
06/15/2022,food,5195.0,Grocery shopping,Expense,UPI,grocery shopping
2024-10-05,food,3143.0,Books,Expense,UPI,books
08/06/2023,health,2135.0,Medicine,Expense,Cash,medicine
25-12-24,health,2163.0,Doctor consultation,Expense,UPI,doctor consultation
2024-11-22,food,3929.0,Shopping,Expense,Card,shopping
05-10-2024,food,23852.0,Coffee,Income,Card,coffee
2024-05-31,education,49639.0,Online course,Income,unknown,online course
19-08-2024,food,3150.0,Coffee,Expense,Bank Transfer,coffee
2022-06-07,utility,9408.0,Electricity bill,Expense,Cash,electricity bill
06/25/2022,food,4114.0,Fixed deposit,Expense,UPI,fixed deposit
2023-03-29,education,9681.0,Online course,Expense,UPI,online course
29-03-22,food,3011.0,Grocery shopping,Expense,Card,grocery shopping
05/05/2023,food,32789.0,Lunch,Income,Cash,lunch
2023-02-10,health,6704.0,Doctor consultation,Expense,UPI,doctor consultation
27-11-21,food,3121.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
05/19/2024,travel,3802.0,Petrol,Expense,UPI,petrol
03/06/2021,food,544.0,Lunch,Expense,UPI,lunch
08/24/2021,education,3569.0,Online course,Expense,Cash,online course
2024-11-05,health,2979.0,Medicine,Expense,Cash,medicine
06/24/2022,travel,34984.0,Petrol,Expense,UPI,petrol
